code	section	file	function	classes	title	component
ИАФ.1	IAF	checks/IAF/IAF_01.sh	run_check	K1,K2,K3	Идентификация пользователей	linux
ИАФ.2	IAF	checks/IAF/IAF_02.sh	run_check	-	Идентификация устройств	linux
ИАФ.3	IAF	checks/IAF/IAF_03.sh	run_check	K1,K2,K3	Управление средствами аутентификации	linux
ИАФ.4	IAF	checks/IAF/IAF_04.sh	run_check	-	Идентификация и аутентификация устройств	linux
УПД.1	UPD	checks/UPD/UPD_01.sh	run_check	K1,K2,K3	Реализация модели управления доступом	linux
УПД.2	UPD	checks/UPD/UPD_02.sh	run_check	K1,K2,K3	Разграничение и контроль прав доступа	linux
УПД.3	UPD	checks/UPD/UPD_03.sh	run_check	K1,K2,K3	Управление учетными записями	linux
УПД.4	UPD	checks/UPD/UPD_04.sh	run_check	K1,K2,K3	Ограничение неуспешных попыток доступа	linux
УПД.5	UPD	checks/UPD/UPD_05.sh	run_check	-	Предупреждение пользователя	linux
УПД.6	UPD	checks/UPD/UPD_06.sh	run_check	-	Оповещение о предыдущем входе	linux
УПД.7	UPD	checks/UPD/UPD_07.sh	run_check	K1,K2	Ограничение параллельных сеансов	linux
УПД.8	UPD	checks/UPD/UPD_08.sh	run_check	K1,K2,K3	Блокирование сеанса при неактивности	linux
УПД.9	UPD	checks/UPD/UPD_09.sh	run_check	K1,K2,K3	Контроль действий до идентификации и аутентификации	linux
РСБ.1	RSB	checks/RSB/RSB_01.sh	run_check	K1,K2,K3	Определение событий безопасности	linux
РСБ.2	RSB	checks/RSB/RSB_02.sh	run_check	K1,K2,K3	Анализ событий и реагирование	linux
РСБ.3	RSB	checks/RSB/RSB_03.sh	run_check	K1,K2,K3	Генерация временных меток	linux
РСБ.4	RSB	checks/RSB/RSB_04.sh	run_check	K1,K2,K3	Сбор, хранение и защита журналов	linux
РСБ.5	RSB	checks/RSB/RSB_05.sh	run_check	K1,K2,K3	Реагирование на сбои регистрации	linux
ЗСВ.1	ZSV	checks/ZSV/ZSV_01.sh	run_check	K1,K2,K3	Доверенная загрузка средств виртуализации и виртуальных машин	virtualization
ЗСВ.2	ZSV	checks/ZSV/ZSV_02.sh	run_check	K1,K2,K3	Контроль целостности средств виртуализации и виртуальных машин	virtualization
ЗСВ.3	ZSV	checks/ZSV/ZSV_03.sh	run_check	K1,K2,K3	Регистрация событий безопасности в среде виртуализации	virtualization
ЗСВ.4	ZSV	checks/ZSV/ZSV_04.sh	run_check	K1,K2,K3	Управление доступом в среде виртуализации	virtualization
ЗСВ.5	ZSV	checks/ZSV/ZSV_05.sh	run_check	K1,K2,K3	Резервное копирование в среде виртуализации	virtualization
ЗСВ.6	ZSV	checks/ZSV/ZSV_06.sh	run_check	K1,K2,K3	Ограничение программной среды в среде виртуализации	virtualization
ЗСВ.7	ZSV	checks/ZSV/ZSV_07.sh	run_check	K1,K2,K3	Защита памяти в среде виртуализации	virtualization
ЗСВ.8	ZSV	checks/ZSV/ZSV_08.sh	run_check	K1,K2,K3	Идентификация и аутентификация в среде виртуализации	virtualization
ЗСВ.9	ZSV	checks/ZSV/ZSV_09.sh	run_check	K1,K2	Управление виртуальными машинами	virtualization
ЗКО.1	ZKO	checks/ZKO/ZKO_01.sh	run_check	K1,K2,K3	Контроль целостности в контейнерных средах	containers
ЗКО.2	ZKO	checks/ZKO/ZKO_02.sh	run_check	K1,K2,K3	Регистрация событий безопасности в контейнерных средах	containers
ЗКО.3	ZKO	checks/ZKO/ZKO_03.sh	run_check	K1,K2,K3	Управление доступом в контейнерных средах	containers
ЗКО.4	ZKO	checks/ZKO/ZKO_04.sh	run_check	K1,K2,K3	Резервное копирование в контейнерных средах	containers
ЗКО.5	ZKO	checks/ZKO/ZKO_05.sh	run_check	K1,K2,K3	Изоляция контейнеров в контейнерных средах	containers
ЗКО.6	ZKO	checks/ZKO/ZKO_06.sh	run_check	K1,K2,K3	Идентификация, аутентификация и защита сетевого взаимодействия	containers
ЗКО.7	ZKO	checks/ZKO/ZKO_07.sh	run_check	K1,K2,K3	Управление контейнерами и их образами	containers
ЗКО.8	ZKO	checks/ZKO/ZKO_08.sh	run_check	K1,K2,K3	Выявление и устранение уязвимостей в контейнерной среде	containers
ЗЭП.1	ZEP	checks/ZEP/ZEP_01.sh	run_check	K1,K2,K3	Защита ящиков и сообщений электронной почты	mail
ЗЭП.2	ZEP	checks/ZEP/ZEP_02.sh	run_check	K1,K2,K3	Управление доступом пользователей электронной почты	mail
ЗЭП.3	ZEP	checks/ZEP/ZEP_03.sh	run_check	K1,K2,K3	Защита от вредоносных вложений	mail
ЗЭП.4	ZEP	checks/ZEP/ZEP_04.sh	run_check	K1,K2,K3	Защита от фишинга	mail
ЗЭП.5	ZEP	checks/ZEP/ZEP_05.sh	run_check	K1,K2,K3	Защита от спама	mail
ЗЭП.6	ZEP	checks/ZEP/ZEP_06.sh	run_check	K1,K2,K3	Защита метаданных сервисов электронной почты	mail
ЗВТ.1	ZVT	checks/ZVT/ZVT_01.sh	run_check	K1,K2,K3	Защита пользовательских данных	web
ЗВТ.2	ZVT	checks/ZVT/ZVT_02.sh	run_check	K1,K2,K3	Управление доступом пользователей	web
